"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Dec-2020","    31295.90","    31409.50","    31088.10","    31264.05","      364121772","         7398.90"
"01-Jan-2021","    31297.30","    31384.35","    31188.25","    31225.85","      362816824","         4578.68"
"04-Jan-2021","    31485.15","    31489.60","    30893.65","    31212.45","      455777638","         7332.25"
"05-Jan-2021","    31041.10","    31767.65","    30935.55","    31722.25","      427039458","         9737.71"
"06-Jan-2021","    31839.95","    31982.30","    31548.15","    31797.90","      546145047","        10578.97"
"07-Jan-2021","    32129.80","    32177.40","    31911.50","    31956.00","      503480241","         9322.79"
"08-Jan-2021","    32298.05","    32298.05","    32002.95","    32084.20","      320076839","         7620.85"
"11-Jan-2021","    32280.30","    32288.45","    31836.95","    31998.90","      262149604","         6540.40"
"12-Jan-2021","    31835.05","    32397.95","    31725.85","    32339.00","      518130302","         9541.83"
"13-Jan-2021","    32546.60","    32683.50","    32148.25","    32574.65","      631806349","        11456.79"
"14-Jan-2021","    32526.70","    32718.95","    32442.35","    32519.75","      418770741","         8111.58"
"15-Jan-2021","    32508.90","    32544.80","    32044.35","    32246.80","      441548129","         7707.34"
"18-Jan-2021","    32275.15","    32441.50","    31650.90","    31811.75","      396843076","        10758.03"
"19-Jan-2021","    32082.90","    32464.95","    31863.95","    32424.85","      354794656","         7543.27"
"20-Jan-2021","    32388.95","    32607.45","    32322.90","    32543.70","      463373596","         7574.88"
"21-Jan-2021","    32732.80","    32842.30","    31985.55","    32186.90","      429690838","        10074.06"
"22-Jan-2021","    32088.00","    32131.40","    31119.90","    31167.25","      447189924","        10066.98"
"25-Jan-2021","    31507.15","    31697.55","    31013.65","    31198.40","      354685592","         9568.90"
"27-Jan-2021","    31236.25","    31287.05","    30165.65","    30284.55","      374955694","        10597.04"
"28-Jan-2021","    29812.30","    30464.40","    29687.70","    30358.30","      616602174","        15327.03"
"29-Jan-2021","    30700.65","    31111.95","    30254.55","    30565.50","      491234852","        12337.91"
"01-Feb-2021","    30976.35","    33305.30","    30906.45","    33089.05","      724603063","        18740.71"
"02-Feb-2021","    33589.05","    34652.50","    33583.15","    34267.90","      672200917","        18419.28"
"03-Feb-2021","    34555.60","    34908.05","    34011.90","    34758.45","      605204158","        14904.35"
"04-Feb-2021","    34548.90","    35413.15","    34238.90","    35344.80","      829671813","        17326.58"
"05-Feb-2021","    35634.95","    36615.20","    35545.00","    35654.50","      929584155","        24845.74"
"08-Feb-2021","    36073.85","    36466.45","    35872.25","    35983.65","      448653152","        10478.23"
"09-Feb-2021","    36058.80","    36477.15","    35636.85","    36056.50","      692481033","        11793.28"
"10-Feb-2021","    36042.35","    36227.20","    35428.15","    35783.10","      454605536","         9891.10"
"11-Feb-2021","    35687.25","    36009.45","    35573.30","    35752.10","      397926100","         7513.29"
"12-Feb-2021","    35736.60","    36322.80","    35700.25","    36108.90","      400613273","         9137.78"
"15-Feb-2021","    36501.40","    37449.90","    36405.10","    37306.25","      395960815","        10012.45"
"16-Feb-2021","    37492.60","    37708.75","    36762.75","    37098.40","      498415137","        13143.70"
"17-Feb-2021","    37041.95","    37331.45","    36764.25","    36910.95","      850487354","        13395.15"
"18-Feb-2021","    37088.75","    37108.75","    36367.45","    36587.00","      860331083","        13935.68"
"19-Feb-2021","    36371.55","    36656.20","    35584.60","    35841.60","     1057099488","        14997.82"
"22-Feb-2021","    35874.30","    36128.90","    35097.55","    35257.20","      558736003","        12053.67"
"23-Feb-2021","    35540.55","    35680.85","    34976.00","    35116.95","      495062997","        10218.79"
"24-Feb-2021","    35205.40","    36567.65","    35060.65","    36452.30","      272875395","         7573.80"
"25-Feb-2021","    36763.15","    37232.20","    36494.00","    36549.00","      455940302","        13087.65"
"26-Feb-2021","    35806.65","    35902.90","    34658.70","    34803.60","      583014812","        16332.46"
"01-Mar-2021","    35374.25","    35581.10","    34983.75","    35296.00","      321453194","         7669.26"
"02-Mar-2021","    35458.15","    35747.05","    35002.45","    35419.70","      313565974","         7869.52"
"03-Mar-2021","    35754.45","    36455.15","    35570.55","    36368.05","      526962435","         9532.62"
"04-Mar-2021","    35575.65","    36316.40","    35519.25","    35802.50","      518584470","        10419.70"
"05-Mar-2021","    35458.50","    35616.05","    34893.25","    35228.15","      479018691","        11974.97"
"08-Mar-2021","    35462.45","    35827.30","    35090.75","    35275.75","      300221829","         8440.63"
"09-Mar-2021","    35705.90","    36077.80","    35544.95","    35865.65","      276564848","         9262.41"
"10-Mar-2021","    36112.25","    36176.90","    35764.35","    35938.30","      210555025","         6446.15"
"12-Mar-2021","    36497.35","    36497.35","    35188.05","    35496.65","      273642948","         7952.81"
"15-Mar-2021","    35544.25","    35544.25","    34430.65","    35182.55","      353005770","         9014.21"
"16-Mar-2021","    35352.00","    35405.05","    34744.60","    34804.60","      311778180","         7147.29"
"17-Mar-2021","    34905.05","    35100.50","    34126.85","    34229.25","      294340779","         7534.66"
"18-Mar-2021","    34577.50","    34759.85","    33597.55","    33856.80","      365798753","         7932.37"
"19-Mar-2021","    33590.40","    34355.40","    33361.00","    34161.60","      457208862","        10879.76"
"22-Mar-2021","    34088.40","    34148.90","    33389.15","    33603.45","      298859239","         7685.72"
"23-Mar-2021","    33747.95","    34360.05","    33622.00","    34184.40","      365205246","         9444.61"
"24-Mar-2021","    33894.70","    33970.65","    33203.40","    33293.25","      345484145","         8061.91"
"25-Mar-2021","    33420.75","    33550.15","    32415.25","    33006.45","      486186269","        10556.91"
"26-Mar-2021","    33605.05","    33610.65","    33166.10","    33318.20","      291664756","         6932.74"
"30-Mar-2021","    33615.90","    33990.80","    33564.55","    33875.10","      374227813","        10246.95"
"31-Mar-2021","    33764.80","    33773.10","    33151.80","    33303.90","      317682921","         8647.10"
"01-Apr-2021","    33588.00","    33949.15","    33208.75","    33858.00","      275264439","         8451.84"
"05-Apr-2021","    33649.15","    33697.75","    32330.15","    32678.85","      306389349","         8317.73"
"06-Apr-2021","    32915.65","    33007.65","    32338.40","    32501.35","      263466128","         7146.59"
"07-Apr-2021","    32529.70","    33191.70","    32141.55","    32991.20","      301661823","         8454.15"
"08-Apr-2021","    33154.20","    33306.80","    32704.75","    32782.85","      242109321","         6459.28"
"09-Apr-2021","    32636.90","    32972.15","    32329.95","    32448.05","      342531390","         8525.93"
"12-Apr-2021","    31637.90","    31698.05","    30520.30","    30792.00","      500839301","        10617.90"
"13-Apr-2021","    30901.80","    31885.45","    30722.85","    31771.60","      394495718","         8562.91"
"15-Apr-2021","    31929.10","    32187.05","    31406.40","    32112.85","      359820808","        10459.88"
"16-Apr-2021","    32161.45","    32325.15","    31911.90","    31977.45","      282437841","         6904.90"
"19-Apr-2021","    30993.45","    31304.30","    30405.65","    31208.40","      371591981","         9337.41"
"20-Apr-2021","    31568.95","    31731.65","    30891.00","    31112.70","      301980700","         7876.41"
"22-Apr-2021","    30763.50","    31834.50","    30555.25","    31782.60","      324393822","        10428.93"
"23-Apr-2021","    31490.60","    32148.40","    31377.15","    31722.30","      333782207","         8936.18"
"26-Apr-2021","    32316.65","    32603.70","    32144.80","    32275.15","      312038031","        11319.42"
"27-Apr-2021","    32228.95","    32807.10","    32152.95","    32735.35","      298418626","        10157.29"
"28-Apr-2021","    32865.50","    33777.70","    32840.30","    33722.80","      354104361","        12947.01"
"29-Apr-2021","    33901.60","    34287.00","    33304.60","    33714.50","      381173342","        11785.88"
"30-Apr-2021","    33112.40","    33455.25","    32663.40","    32781.80","      356408638","        11062.75"
"03-May-2021","    32368.55","    32566.60","    31906.55","    32465.75","      313628139","         9845.07"
"04-May-2021","    32610.40","    33011.55","    32191.40","    32270.35","      672537145","        10097.81"
"05-May-2021","    32577.10","    32862.15","    32068.55","    32783.70","      343564356","         7341.58"
"06-May-2021","    32900.75","    32956.35","    32564.00","    32827.80","      268011511","         6399.32"
"07-May-2021","    33041.65","    33259.15","    32771.35","    32904.50","      261346010","         5927.59"
"10-May-2021","    33175.30","    33297.60","    33028.15","    33142.40","      366829284","         6814.19"
"11-May-2021","    32640.95","    33154.30","    32611.70","    32872.20","      410859353","         7328.56"
"12-May-2021","    32717.65","    32747.70","    32352.30","    32452.30","      530601264","         7947.48"
"14-May-2021","    32495.15","    32622.65","    32115.50","    32169.55","      344502670","         6778.47"
"17-May-2021","    32437.85","    33506.90","    32318.70","    33459.25","      432480348","        11186.93"
"18-May-2021","    33893.10","    34142.85","    33730.45","    33922.40","      385809306","        10877.63"
"19-May-2021","    33717.10","    33959.30","    33608.25","    33685.20","      310365750","         7151.62"
"20-May-2021","    33692.55","    33833.70","    33273.95","    33334.55","      498149396","         7971.93"
"21-May-2021","    33559.80","    34694.45","    33559.75","    34606.90","      534919600","        15481.77"
"24-May-2021","    34869.30","    35216.10","    34528.30","    34943.60","      618209361","        13622.16"
"25-May-2021","    35095.00","    35125.85","    34410.40","    34662.00","      349434738","         7934.33"
"26-May-2021","    34757.15","    34897.95","    34462.50","    34684.20","      321416671","         6958.58"
"27-May-2021","    34664.20","    35220.80","    34529.70","    35095.05","      726180251","        12383.50"
"28-May-2021","    35345.65","    35436.65","    34977.20","    35141.45","      551320823","        10112.32"
